Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Cluster,PCA1,PCA2
183,Florian Ayé,fr FRA,FW,Auxerre,fr Ligue 1,27.0,1997.0,26,4,575,6.4,2,0,2,2,0,0,0,0,1.9,1.9,0.1,2.0,5,7,30,0.31,0.0,0.31,0.31,0.31,0.3,0.02,0.32,0.3,0.32,1,0.40684275164399536,-1.8554049569903106
184,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,34.0,1989.0,27,15,1453,16.1,4,1,5,4,0,0,2,0,4.3,4.3,0.2,4.6,5,18,43,0.25,0.06,0.31,0.25,0.31,0.27,0.02,0.28,0.27,0.28,2,0.9478997283883704,-0.32226410292401864
185,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,32.0,1991.0,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.0,0.0,0.0,0.0,0.0,1.96,0.21,2.17,1.96,2.17,0,6.145451165893863,-10.29493996204686
186,Jordan Ayew,gh GHA,"FW,MF",Leicester City,eng Premier League,32.0,1991.0,30,19,1638,18.2,5,0,5,4,1,1,5,0,3.2,2.4,1.1,3.5,49,46,86,0.27,0.0,0.27,0.22,0.22,0.17,0.06,0.24,0.13,0.19,2,1.4203370167238358,0.9666675184700063
187,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,23.0,2001.0,24,17,1588,17.6,8,1,9,5,3,3,4,0,4.0,1.6,2.0,3.6,11,75,29,0.45,0.06,0.51,0.28,0.34,0.23,0.11,0.34,0.09,0.21,0,1.539512756900807,-0.26856911457027105
188,Ayman Azhil,ma MAR,MF,Dortmund,de Bundesliga,23.0,2001.0,1,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-3.333518487507648,-1.1689463319288211
189,Adam Aznou,ma MAR,DF,Valladolid,es La Liga,18.0,2006.0,13,10,876,9.7,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,16,25,26,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,1,-1.930553849322702,0.05010064309357634
190,Adam Aznou,ma MAR,DF,Bayern Munich,de Bundesliga,18.0,2006.0,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-3.3502080572277237,-1.273933747643442
191,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,34.0,1989.0,14,10,875,9.7,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,13,66,20,0.1,0.0,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03,1,-1.400961677967308,0.5581199595330446
192,Paulo Azzi,br BRA,DF,Cagliari,it Serie A,30.0,1994.0,6,5,426,4.7,0,0,0,0,0,0,2,0,0.5,0.5,0.9,1.4,15,13,26,0.0,0.0,0.0,0.0,0.0,0.11,0.19,0.3,0.11,0.3,1,-1.3900822755292943,-1.2068368211224427
193,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,23.0,2001.0,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-3.307959673847232,-1.1320707390342588
194,Papa Ba,es ESP,MF,Girona,es La Liga,19.0,2004.0,1,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,1,-3.0807890618797256,-1.5204564462669246
195,Shavy Babicka,ga GAB,"MF,FW",Toulouse,fr Ligue 1,24.0,2000.0,30,11,1186,13.2,4,2,6,4,0,0,2,0,3.9,3.9,1.6,5.5,36,21,122,0.3,0.15,0.46,0.3,0.46,0.3,0.12,0.42,0.3,0.42,0,2.4320646485771977,-1.0793958624346238
